,id,tweet_text,tweet_date,original_sentiment,query_used,negative,neutro,positive,compound,sentiment
3333,1020508586164793349,Palavras cruzadas: nível difícil https://t.co/WbWHT6l5bP,Sat Jul 21 03:19:41 +0000 2018,neutral,veja,0.259,0.741,0.0,-0.1027,negative
3335,1020508614166016000,Palavras cruzadas: nível fácil https://t.co/lsbKQ093Ug,Sat Jul 21 03:19:48 +0000 2018,neutral,veja,0.0,0.58,0.42,0.4404,positive
3338,1020661276781969409,Trump: ‘Seu presidente favorito não fez nada de errado’ https://t.co/vXo1ckxJpt,Sat Jul 21 13:26:26 +0000 2018,neutral,veja,0.346,0.458,0.196,-0.3182,negative
3341,1020686015453908993,Tensões políticas levam a conflitos na Nicarágua https://t.co/MRQ49s0I2k,Sat Jul 21 15:04:44 +0000 2018,neutral,veja,0.515,0.485,0.0,-0.6486,negative
3343,1020740031428923392,"Em convenção tumultuada, PMN descarta candidatura de Valéria Monteiro https://t.co/go6Wdb56Wp",Sat Jul 21 18:39:22 +0000 2018,neutral,veja,0.182,0.818,0.0,-0.25,negative
3345,1020751247819919360,"‘Vou enfrentar as corporações’, diz Alckmin https://t.co/gPBJQmxLcJ",Sat Jul 21 19:23:56 +0000 2018,neutral,veja,0.221,0.779,0.0,-0.1779,negative
3346,1020770453609222144,"Para Paulinho da Força, Alckmin promete alternativa à imposto sindical https://t.co/SPXxj3hllb",Sat Jul 21 20:40:15 +0000 2018,neutral,veja,0.204,0.423,0.373,0.5267,positive
3347,1020772242114994176,Doença de executivo leva Fiat a mudar o comando depois de 14 anos https://t.co/Nf0wWRYpfI,Sat Jul 21 20:47:22 +0000 2018,neutral,veja,0.197,0.803,0.0,-0.4019,negative
3348,1020774681522196480,Oposição realiza grande protesto contra presidente da Nicarágua https://t.co/kbsZpcLu8X,Sat Jul 21 20:57:03 +0000 2018,neutral,veja,0.146,0.438,0.416,0.5719,positive
3351,1020802907044810752,Queda de ultraleve deixa dois mortos na zona oeste do Rio https://t.co/FkWFTKlRKu,Sat Jul 21 22:49:13 +0000 2018,neutral,veja,0.127,0.873,0.0,-0.1531,negative
3352,1020815486299275264,Neymar rebate ‘encheção’ e fala da ‘dificuldade’ em ser quem ele é https://t.co/ces5ymycxs,Sat Jul 21 23:39:12 +0000 2018,neutral,veja,0.187,0.813,0.0,-0.3182,negative
3353,1020837226907881474,Cúpula do PCC planejou resgate em presídio de segurança máxima https://t.co/QmFmYUQ1xj,Sun Jul 22 01:05:35 +0000 2018,neutral,veja,0.104,0.672,0.224,0.3818,positive
